Entidade,Rótulo,Contagem,Score Médio
JiquiáAlagoas,UNIDADE_CRONO,1,"0,6700"
Jiquia,UNIDADE_CRONO,1,"0,9490"
ParanáBasin,BACIA,1,"0,7846"
Calcimudstones,ROCHA,1,"0,5166"
Shrubs,ROCHA,1,"0,3816"
rainstones,ROCHA,1,"0,5423"
crinkly,ESTRUTURA_FISICA,1,"0,6616"
laminites,ESTRUTURA_FISICA,1,"0,5818"
GRAINSTONES,ROCHA,1,"0,5318"
cleavage,ESTRUTURA_FISICA,1,"0,9185"
ripple,ESTRUTURA_FISICA,1,"0,9401"
BVE300,POÇO,1,"0,7691"
BVE200,POÇO,1,"0,5938"
arremian,UNIDADE_CRONO,1,"0,6026"
pelecypod,FOSSEIS,1,"0,8632"
BasinSantos,BACIA,1,"0,9534"
discordâncias,ESTRUTURA_FISICA,1,"0,9992"
CampodeBúzios,CAMPO,1,"0,9994"
gneisses,ROCHA,1,"0,5461"
Parana,BACIA,1,"0,9509"
Basalt,ROCHA,1,"0,9763"
Cenozoic,UNIDADE_CRONO,1,"0,9993"
2SEQ5,POÇO,1,"0,5768"
2SEQ1,POÇO,1,"0,6467"
Iracema,CAMPO,1,"0,8372"
Carbonatos,ROCHA,1,"0,9958"
BaciadePelotas,BACIA,1,"0,9996"
metamórficos,ROCHA,1,"0,4839"
Neoproterozoico,UNIDADE_CRONO,1,"0,9987"
Baciade,BACIA,1,"0,9160"
neoproterozoicas,UNIDADE_CRONO,1,"0,9979"
BaciasdeCampos,BACIA,1,"0,9995"
cisalhamento,ESTRUTURA_FISICA,1,"0,4815"
zona,ESTRUTURA_FISICA,1,"0,5328"
Eoceno,UNIDADE_CRONO,1,"0,9994"
oceânica,PALEOAMBIENTE,1,"0,5514"
formaçõesCamboriú,UNIDADE_LITO,1,"0,8533"
basaltos,ROCHA,1,"0,9950"
Neocomiano,UNIDADE_CRONO,1,"0,9958"
Barremiano,UNIDADE_CRONO,1,"0,9999"
Neobarremiano,UNIDADE_CRONO,1,"0,9859"
lamitos,ROCHA,1,"0,9858"
transicional,PALEOAMBIENTE,1,"0,9363"
marinhoraso,PALEOAMBIENTE,1,"0,8664"
calcários,ROCHA,1,"0,9998"
talco,MINERAIS,1,"0,5452"
bioclastos,FOSSEIS,1,"0,9910"
formaçõesItapema,UNIDADE_LITO,1,"0,9067"
formaçõesPiçarras,UNIDADE_LITO,1,"0,9988"
lacustre,PALEOAMBIENTE,1,"0,9981"
marinho,PALEOAMBIENTE,1,"0,9569"
foraminíferosmiliolídeos,FOSSEIS,1,"0,9788"
gipsita,MINERAIS,1,"0,6781"
Neoaptiano,UNIDADE_CRONO,1,"0,9994"
taquidrita,ROCHA,1,"0,6071"
margas,ROCHA,1,"0,9994"
Cenomaniano,UNIDADE_CRONO,1,"0,9999"
FmItapema,UNIDADE_LITO,1,"0,8590"
depositos,ROCHA,1,"0,7935"
raso,PALEOAMBIENTE,1,"0,9192"
argilamagnesiana,NAO_CONSOLID,1,"0,6945"
argilominerais,MINERAIS,1,"0,6523"
sublitorâneo,PALEOAMBIENTE,1,"0,6903"
magnesianas,ROCHA,1,"0,5487"
rochascarbonáticas,ROCHA,1,"0,9991"
aptianosuperior,UNIDADE_CRONO,1,"0,9805"
Marinhas,PALEOAMBIENTE,1,"0,9991"
baciadeSantos,BACIA,1,"0,9985"
continentais,PALEOAMBIENTE,1,"0,9838"
SantosNamibe,BACIA,1,"0,7213"
Cenozoicos,UNIDADE_CRONO,1,"0,9926"
barremian,UNIDADE_CRONO,1,"0,9690"
ooliths,FOSSEIS,1,"0,6048"
Ostracod,FOSSEIS,1,"0,9357"
Oncoid,FOSSEIS,1,"0,5935"
calcirudite,MINERAIS,1,"0,5723"
Toca,UNIDADE_LITO,1,"0,6230"
Guarujá,UNIDADE_LITO,1,"0,8050"
Travertine,ROCHA,1,"0,8337"
Açúcar,CAMPO,1,"0,4484"
Carboniferous,UNIDADE_CRONO,1,"0,8861"
